movie_id,title,tags
57201,The Lone Ranger,Action Adventure Western Johnny Depp Armie Hammer William Fichtner G o r e   V e r b i n s k i texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto
49521,Man of Steel,Action Adventure Fantasy Science Fiction Henry Cavill Amy Adams Michael Shannon Z a c k   S n y d e r saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe
2454,The Chronicles of Narnia: Prince Caspian,Adventure Family Fantasy Ben Barnes William Moseley Anna Popplewell A n d r e w   A d a m s o n based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world
24428,The Avengers,Science Fiction Action Adventure Robert Downey Jr. Chris Evans Mark Ruffalo J o s s   W h e d o n new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe
1865,Pirates of the Caribbean: On Stranger Tides,Adventure Action Fantasy Johnny Depp Penélope Cruz Ian McShane R o b   M a r s h a l l sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d
41154,Men in Black 3,Action Comedy Science Fiction Will Smith Tommy Lee Jones Josh Brolin B a r r y   S o n n e n f e l d time travel time machine alien fictional government agency seeing the future changing history
122917,The Hobbit: The Battle of the Five Armies,Action Adventure Fantasy Martin Freeman Ian McKellen Richard Armitage P e t e r   J a c k s o n corruption elves dwarves orcs middle-earth (tolkien) hobbit dragon battle unlikely friendship epic battle sword and sorcery
1930,The Amazing Spider-Man,Action Adventure Fantasy Andrew Garfield Emma Stone Rhys Ifans M a r c   W e b b loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger
20662,Robin Hood,Action Adventure Russell Crowe Cate Blanchett Max von Sydow R i d l e y   S c o t t robin hood archer knight sherwood forest bow and arrow middle ages medieval king of england
57158,The Hobbit: The Desolation of Smaug,Adventure Fantasy Martin Freeman Ian McKellen Richard Armitage P e t e r   J a c k s o n elves dwarves orcs hobbit dragon wizard sword and sorcery
2268,The Golden Compass,Adventure Fantasy Dakota Blue Richards Nicole Kidman Daniel Craig C h r i s   W e i t z england compass experiment lordship uncle polar bear orphan animal based on young adult novel
254,King Kong,Adventure Drama Action Naomi Watts Jack Black Adrien Brody P e t e r   J a c k s o n film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur
597,Titanic,Drama Romance Thriller Kate Winslet Leonardo DiCaprio Frances Fisher J a m e s   C a m e r o n shipwreck iceberg ship panic titanic ocean liner epic rich woman - poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s
271110,Captain America: Civil War,Adventure Action Science Fiction Chris Evans Robert Downey Jr. Scarlett Johansson A n t h o n y   R u s s o   J o e   R u s s o civil war war marvel comic sequel superhero based on comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d
44833,Battleship,Thriller Action Adventure Science Fiction Taylor Kitsch Alexander Skarsgård Rihanna P e t e r   B e r g fight u.s. navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs of staff crash landing jet fighter pilot navy lieutenant permission to marry uss john paul jones based on board game aftercreditsstinger mighty mo uss missouri
135397,Jurassic World,Action Adventure Science Fiction Thriller Chris Pratt Bryce Dallas Howard Irrfan Khan C o l i n   T r e v o r r o w monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park 3d animal horror
37724,Skyfall,Action Adventure Thriller Daniel Craig Judi Dench Javier Bardem S a m   M e n d e s spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating a police officer macao
558,Spider-Man 2,Action Adventure Fantasy Tobey Maguire Kirsten Dunst James Franco S a m   R a i m i dual identity love of one's life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain
68721,Iron Man 3,Action Adventure Science Fiction Robert Downey Jr. Gwyneth Paltrow Don Cheadle S h a n e   B l a c k terrorist war on terror tennessee malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe mandarin 3d war machine iron patriot extremis
12155,Alice in Wonderland,Family Fantasy Adventure Mia Wasikowska Johnny Depp Anne Hathaway T i m   B u r t o n based on novel fictional place queen fantasy alice in wonderland fantasy world 3d
36668,X-Men: The Last Stand,Adventure Action Science Fiction Thriller Hugh Jackman Halle Berry Ian McKellen B r e t t   R a t n e r mutant marvel comic based on comic book superhuman beast cyclops aftercreditsstinger
62211,Monsters University,Animation Family Billy Crystal John Goodman Steve Buscemi D a n   S c a n l o n monster dormitory games animation best friend university scary aftercreditsstinger
8373,Transformers: Revenge of the Fallen,Science Fiction Action Adventure Shia LaBeouf Megan Fox Josh Duhamel M i c h a e l   B a y egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger
91314,Transformers: Age of Extinction,Science Fiction Action Adventure Mark Wahlberg Stanley Tucci Kelsey Grammer M i c h a e l   B a y sequel alien transformers giant robot robot imax transforming robot
68728,Oz: The Great and Powerful,Fantasy Adventure Family James Franco Mila Kunis Rachel Weisz S a m   R a i m i circus witch magic hope illusion lost magic trick wizard 3d
102382,The Amazing Spider-Man 2,Action Adventure Fantasy Andrew Garfield Emma Stone Jamie Foxx M a r c   W e b b obsession marvel comic sequel based on comic book electrocution medical experiment electricity super powers
20526,TRON: Legacy,Adventure Action Science Fiction Garrett Hedlund Jeff Bridges Olivia Wilde J o s e p h   K o s i n s k i artificial intelligence secret identity computer program dystopia computer deception duel motorcycle neon light autocracy
49013,Cars 2,Animation Family Adventure Comedy Owen Wilson Larry the Cable Guy Michael Caine J o h n   L a s s e t e r   B r a d   L e w i s car race sequel comedy anthropomorphism best friend duringcreditsstinger
44912,Green Lantern,Adventure Action Thriller Science Fiction Ryan Reynolds Blake Lively Peter Sarsgaard M a r t i n   C a m p b e l l dc comics transformation superhero alien alien infection magical object protector super powers origin 3d
10193,Toy Story 3,Animation Family Comedy Tom Hanks Tim Allen Ned Beatty L e e   U n k r i c h hostage college toy barbie animation escape day care teddy bear duringcreditsstinger toy comes to life personification inanimate objects coming to life toy story
534,Terminator Salvation,Action Science Fiction Thriller Christian Bale Sam Worthington Anton Yelchin M c G saving the world artificial intelligence prophecy san francisco cyborg killer robot gas station post-apocalyptic dystopia army firearm wartime los angeles
168259,Furious 7,Action Vin Diesel Paul Walker Dwayne Johnson J a m e s   W a n car race speed revenge suspense car race muscle car
72190,World War Z,Action Drama Horror Science Fiction Thriller Brad Pitt Mireille Enos Abigail Hargrove M a r c   F o r s t e r dystopia apocalypse zombie nuclear weapons multiple perspectives zombie apocalypse
127585,X-Men: Days of Future Past,Action Adventure Fantasy Science Fiction Hugh Jackman James McAvoy Michael Fassbender B r y a n   S i n g e r 1970s mutant time travel marvel comic based on comic book superhuman storm beast aftercreditsstinger changing the past or future
54138,Star Trek Into Darkness,Action Adventure Science Fiction Chris Pine Zachary Quinto Zoe Saldana J . J .   A b r a m s spacecraft friendship sequel futuristic space alien imax space opera terrorist bombing 3d
81005,Jack the Giant Slayer,Action Family Fantasy Nicholas Hoult Eleanor Tomlinson Ewan McGregor B r y a n   S i n g e r based on fairy tale giant
64682,The Great Gatsby,Drama Romance Leonardo DiCaprio Tobey Maguire Carey Mulligan B a z   L u h r m a n n based on novel infidelity obsession hope 3d
9543,Prince of Persia: The Sands of Time,Adventure Fantasy Action Romance Jake Gyllenhaal Gemma Arterton Ben Kingsley M i k e   N e w e l l persia sandstorm brother against brother armageddon regent based on video game
68726,Pacific Rim,Action Science Fiction Adventure Idris Elba Charlie Hunnam Charlie Day G u i l l e r m o   d e l   T o r o dystopia giant robot giant monster apocalypse imax duringcreditsstinger 3d
38356,Transformers: Dark of the Moon,Action Science Fiction Adventure Shia LaBeouf John Malkovich Ken Jeong M i c h a e l   B a y moon spacecraft traitor bodyguard alien planet based on cartoon transformers giant robot sabotage word domination commando duringcreditsstinger
217,Indiana Jones and the Kingdom of the Crystal Skull,Adventure Action Harrison Ford Cate Blanchett Shia LaBeouf S t e v e n   S p i e l b e r g saving the world riddle whip treasure mexico city leather jacket machinegun alien phenomenons maya civilization peru treasure hunt nuclear explosion refrigerator archaeologist indiana jones archeology 
105864,The Good Dinosaur,Adventure Animation Family Raymond Ochoa Jack Bright Jeffrey Wright P e t e r   S o h n tyrannosaurus rex friends alternate history dinosaur fear storm nature human journey
62177,Brave,Animation Adventure Comedy Family Action Fantasy Kelly Macdonald Julie Walters Billy Connolly B r e n d a   C h a p m a n   M a r k   A n d r e w s   S t e v e   P u r c e l l scotland rebel bravery kingdom archer wish bear scot rebellious daughter turns into animal archery ruins aftercreditsstinger peace offering woman director courage 3d
188927,Star Trek Beyond,Action Adventure Science Fiction Chris Pine Zachary Quinto Karl Urban J u s t i n   L i n sequel stranded hatred space opera
10681,WALL·E,Animation Family Ben Burtt Elissa Knight Jeff Garlin A n d r e w   S t a n t o n romantic comedy
5174,Rush Hour 3,Action Comedy Crime Thriller Chris Tucker Jackie Chan Hiroyuki Sanada B r e t t   R a t n e r ambassador
14161,2012,Action Adventure Science Fiction John Cusack Amanda Peet Chiwetel Ejiofor R o l a n d   E m m e r i c h civilization natural disaster end of the world disaster apocalypse destruction volcanic eruption mayan ark solar destruction  of mankind
17979,A Christmas Carol,Animation Drama Gary Oldman Jim Carrey Steve Valentine R o b e r t   Z e m e c k i s holiday based on novel victorian england money christmas eve scrooge christmas carol ghost lesson charles dickens christmas
76757,Jupiter Ascending,Science Fiction Fantasy Action Adventure Mila Kunis Channing Tatum Sean Bean L i l l y   W a c h o w s k i   L a n a   W a c h o w s k i jupiter space woman director 3d interspecies romance
258489,The Legend of Tarzan,Action Adventure Alexander Skarsgård Margot Robbie Christoph Waltz D a v i d   Y a t e s africa feral child tarzan jungle animal attack
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure Family Fantasy William Moseley Anna Popplewell Skandar Keynes A n d r e w   A d a m s o n saving the world witch based on novel brother sister relationship self sacrifice winter cupboard beaver lion fairy-tale figure battle narnia fantasy world duringcreditsstinger
246655,X-Men: Apocalypse,Science Fiction James McAvoy Michael Fassbender Jennifer Lawrence B r y a n   S i n g e r mutant supernatural powers marvel comic superhero based on comic book superhuman apocalypse superhero team world domination aftercreditsstinger 1980s
155,The Dark Knight,Drama Action Crime Thriller Christian Bale Heath Ledger Aaron Eckhart C h r i s t o p h e r   N o l a n dc comics crime fighter secret identity scarecrow sadism chaos gotham city vigilante joker superhero based on comic book tragic hero organized crime criminal mastermind district attorney imax super villain super powers batman
14160,Up,Animation Comedy Family Adventure Ed Asner Christopher Plummer Jordan Nagai P e t e   D o c t e r age difference central and south america balloon animation floating in the air duringcreditsstinger exploring
15512,Monsters vs Aliens,Animation Family Adventure Science Fiction Seth Rogen Reese Witherspoon Hugh Laurie C o n r a d   V e r n o n   R o b   L e t t e r m a n alien giant robot duringcreditsstinger
1726,Iron Man,Action Science Fiction Adventure Robert Downey Jr. Terrence Howard Jeff Bridges J o n   F a v r e a u middle east arms dealer malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe counter terrorism agent coulson
44826,Hugo,Adventure Drama Family Ben Kingsley Sacha Baron Cohen Asa Butterfield M a r t i n   S c o r s e s e library clock film director key toy boy love orphan robot automaton hiding filmmaking leg brace doberman 3d
8487,Wild Wild West,Action Adventure Comedy Science Fiction Western Will Smith Kevin Kline Kenneth Branagh B a r r y   S o n n e n f e l d steampunk based on tv series steam locomotive drag
1735,The Mummy: Tomb of the Dragon Emperor,Adventure Action Fantasy Brendan Fraser Jet Li John Hannah R o b   C o h e n
297761,Suicide Squad,Action Adventure Crime Fantasy Science Fiction Will Smith Margot Robbie Joel Kinnaman D a v i d   A y e r dc comics shared universe anti hero secret mission villain superhero supervillain dc extended universe
2698,Evan Almighty,Fantasy Comedy Family Steve Carell Lauren Graham John Goodman T o m   S h a d y a c father son relationship daily life married couple support father marriage faith baustelle rescue animal nature duringcreditsstinger noah's ark
137113,Edge of Tomorrow,Action Science Fiction Tom Cruise Emily Blunt Brendan Gleeson D o u g   L i m a n deja vu time warp restart dystopia war alien military officer soldier alien invasion exoskeleton
9804,Waterworld,Adventure Action Kevin Costner Chaim Girafi Rick Aviles K e v i n   R e y n o l d s ocean tattoo mutant water dystopia doomsday
14869,G.I. Joe: The Rise of Cobra,Adventure Action Thriller Science Fiction Dennis Quaid Channing Tatum Marlon Wayans S t e p h e n   S o m m e r s terrorist secret hostage technology warhead government president revenge murder attack explosion scientist lasers evil cobra
150540,Inside Out,Drama Comedy Animation Family Amy Poehler Phyllis Smith Richard Kind P e t e   D o c t e r dream cartoon imaginary friend animation family moving kids unicorn duringcreditsstinger 3d emotions
278927,The Jungle Book,Family Adventure Drama Fantasy Neel Sethi Bill Murray Ben Kingsley J o n   F a v r e a u based on novel snake wolf elephant tiger feral child panther remake bear jungle talking animal orphan animal talking to animals
10138,Iron Man 2,Adventure Action Science Fiction Robert Downey Jr. Gwyneth Paltrow Don Cheadle J o n   F a v r e a u malibu marvel comic superhero based on comic book revenge aftercreditsstinger marvel cinematic universe
58595,Snow White and the Huntsman,Adventure Fantasy Drama Kristen Stewart Charlize Theron Chris Hemsworth R u p e r t   S a n d e r s queen magic fairy tale immortality forest deception woman eternal youth snow white evil queen evil stepmother imprisoned sorceress
102651,Maleficent,Fantasy Adventure Action Family Romance Angelina Jolie Elle Fanning Sharlto Copley R o b e r t   S t r o m b e r g fairy tale villain sleeping beauty dark fantasy based on fairy tale adaptation retelling literary adaptation 3d
119450,Dawn of the Planet of the Apes,Science Fiction Action Drama Thriller Andy Serkis Jason Clarke Gary Oldman M a t t   R e e v e s leader colony post-apocalyptic dystopia forest sequel woods ape scientist monkey medical research animal attack plague 3d
79698,The Lovers,Action Adventure Science Fiction Romance Josh Hartnett Simone Kessell Tamsin Egerton R o l a n d   J o f f é
64686,47 Ronin,Drama Action Adventure Fantasy Keanu Reeves Hiroyuki Sanada Kou Shibasaki C a r l   R i n s c h japan suicide samurai based on true story samurai sword ronin shogun half breed 3d
100402,Captain America: The Winter Soldier,Action Adventure Science Fiction Chris Evans Samuel L. Jackson Scarlett Johansson A n t h o n y   R u s s o   J o e   R u s s o washington d.c. future shield marvel comic superhero based on comic book captain america aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d political thriller
10192,Shrek Forever After,Comedy Adventure Fantasy Animation Family Mike Myers Eddie Murphy Cameron Diaz M i k e   M i t c h e l l ogre 3d
158852,Tomorrowland,Adventure Family Mystery Science Fiction Britt Robertson George Clooney Raffey Cassidy B r a d   B i r d inventor apocalypse destiny imax dreamer futuristic car futuristic city
177572,Big Hero 6,Adventure Family Animation Action Comedy Scott Adsit Ryan Potter Daniel Henney C h r i s   W i l l i a m s   D o n   H a l l brother brother relationship hero talent revenge best friend another dimension robot boy genius hate aftercreditsstinger moral dilemma 3d teen superheroes dead brother
82690,Wreck-It Ralph,Family Animation Comedy Adventure John C. Reilly Sarah Silverman Jack McBrayer R i c h   M o o r e support group product placement bullying racing arcade medal self esteem curiosity precocious child aftercreditsstinger duringcreditsstinger first person shooter glitch carefree video gamer q*bert interrupted wedding social reject
5255,The Polar Express,Adventure Animation Family Fantasy Tom Hanks Michael Jeter Nona Gaye R o b e r t   Z e m e c k i s santa claus nerd faith gift bell beard north pole chute trestle ticket christmas
47933,Independence Day: Resurgence,Action Adventure Science Fiction Liam Hemsworth Jeff Goldblum Bill Pullman R o l a n d   E m m e r i c h alternate history alien invasion
10191,How to Train Your Dragon,Fantasy Adventure Animation Family Jay Baruchel Gerard Butler Craig Ferguson C h r i s   S a n d e r s   D e a n   D e B l o i s flying blacksmith arena island night ship training village forest viking friendship ignorance flight nest dragon battle combat well warrior
296,Terminator 3: Rise of the Machines,Action Thriller Science Fiction Arnold Schwarzenegger Nick Stahl Claire Danes J o n a t h a n   M o s t o w saving the world artificial intelligence man vs machine cyborg killer robot sun glasses leather jacket nanotechnology rocket launcher firemen veterinarian fire engine dystopia psychiatrist
118340,Guardians of the Galaxy,Action Science Fiction Adventure Chris Pratt Zoe Saldana Dave Bautista J a m e s   G u n n marvel comic spaceship space outer space orphan adventurer aftercreditsstinger duringcreditsstinger marvel cinematic universe
157336,Interstellar,Adventure Drama Science Fiction Matthew McConaughey Jessica Chastain Anne Hathaway C h r i s t o p h e r   N o l a n saving the world artificial intelligence father son relationship single parent nasa expedition wormhole space travel famine black hole dystopia race against time quantum mechanics spaceship space rescue family relationships farmhouse robot astronaut scientist father daughter relationship single father farmer space station imax astrophysics zero gravity courage time paradox relativity
27205,Inception,Action Thriller Science Fiction Mystery Adventure Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page C h r i s t o p h e r   N o l a n loss of lover dream kidnapping sleep subconsciousness heist redemption female hero
315011,Shin Godzilla,Action Adventure Drama Horror Science Fiction Hiroki Hasegawa Yutaka Takenouchi Satomi Ishihara H i d e a k i   A n n o   S h i n j i   H i g u c h i monster godzilla giant monster destruction kaiju toyko
49051,The Hobbit: An Unexpected Journey,Adventure Fantasy Action Ian McKellen Martin Freeman Richard Armitage P e t e r   J a c k s o n riddle elves dwarves orcs middle-earth (tolkien) hobbit mountains wizard journey ring goblin courage giant tunnel underground lake buried treasure climbing a tree invisibility ancient gnomes
9799,The Fast and the Furious,Action Crime Thriller Paul Walker Vin Diesel Michelle Rodriguez R o b   C o h e n street gang car race undercover auto-tuning los angeles car automobile racing aftercreditsstinger duringcreditsstinger
4922,The Curious Case of Benjamin Button,Fantasy Drama Thriller Mystery Romance Cate Blanchett Brad Pitt Tilda Swinton D a v i d   F i n c h e r diary navy funeral tea travel hospital
49538,X-Men: First Class,Action Science Fiction Adventure James McAvoy Michael Fassbender Jennifer Lawrence M a t t h e w   V a u g h n cia mutant mine marvel comic superhero based on comic book superhuman historical fiction nuclear war cuban missile crisis world war iii 1960s
131634,The Hunger Games: Mockingjay - Part 2,Action Adventure Science Fiction Jennifer Lawrence Josh Hutcherson Liam Hemsworth F r a n c i s   L a w r e n c e revolution strong woman dystopia game of death 3d based on young adult novel
27022,The Sorcerer's Apprentice,Fantasy Adventure Action Comedy Drama Nicolas Cage Jay Baruchel Monica Bellucci J o n   T u r t e l t a u b witch fire wolf fountain magic book castle water apprentice training merlin love mission sorcerer dragon aftercreditsstinger apprendista morgana
503,Poseidon,Adventure Action Drama Thriller Kurt Russell Richard Dreyfuss Josh Lucas W o l f g a n g   P e t e r s e n new year's eve fire drowning cataclysm loss of father atlantic ocean ball self-abandonment shipwreck giant wave blackout ship daughter single escape capsized ship
241259,Alice Through the Looking Glass,Fantasy Johnny Depp Mia Wasikowska Anne Hathaway J a m e s   B o b i n based on novel clock queen sequel alice in wonderland dark fantasy mad hatter 3d
810,Shrek the Third,Fantasy Adventure Animation Comedy Family Mike Myers Eddie Murphy Cameron Diaz C h r i s   M i l l e r   R a m a n   H u i ambush sadness stage liberation of prisoners island traitor shipwreck prince ship donkey kingdom theatre play transformation conciliation tricks heir to the throne assault boarding school coup d'etat teacher best friend dragon cowardliness pregnancy capture duringcreditsstinger
68735,Warcraft,Action Adventure Fantasy Paula Patton Travis Fimmel Ben Foster D u n c a n   J o n e s video game elves orcs magic chase based on comic book sorcerer fictional war based on video game wizard fictional language muscles orc sword and sorcery
87101,Terminator Genisys,Science Fiction Action Thriller Adventure Arnold Schwarzenegger Jason Clarke Emilia Clarke A l a n   T a y l o r saving the world artificial intelligence cyborg killer robot future time travel dystopia sequel fiction duringcreditsstinger 3d
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure Family Fantasy Skandar Keynes Georgie Henley Simon Pegg M i c h a e l   A p t e d based on novel magic good vs evil king narnia fantasy world knife held to throat snowing quest
676,Pearl Harbor,History Romance War Ben Affleck Josh Hartnett Kate Beckinsale M i c h a e l   B a y nurse patriotism hawaii world war ii pilot pearl harbor u.s. air force airplane war army love pin-up
1858,Transformers,Adventure Science Fiction Action Shia LaBeouf Josh Duhamel Megan Fox M i c h a e l   B a y destroy transformation alien based on toy transformers robot duringcreditsstinger teenage hero
1966,Alexander,War History Action Adventure Drama Romance Colin Farrell Angelina Jolie Val Kilmer O l i v e r   S t o n e aristotle egypt greece persia elephant campaign alexander the great homosexuality gay relationship ancient world
675,Harry Potter and the Order of the Phoenix,Adventure Fantasy Family Mystery Daniel Radcliffe Rupert Grint Emma Watson D a v i d   Y a t e s prophecy witch loss of lover magic cutting the cord child hero dying and death broom sorcerer's apprentice school of witchcraft black magic death of a friend sorcery occultism
674,Harry Potter and the Goblet of Fire,Adventure Fantasy Family Daniel Radcliffe Rupert Grint Emma Watson M i k e   N e w e l l magic dying and death broom sorcerer's apprentice school of witchcraft chosen one black magic boarding school vision tournament teenager wizard teenage hero based on young adult novel
8960,Hancock,Fantasy Action Will Smith Charlize Theron Jason Bateman P e t e r   B e r g flying alcohol love of one's life forbidden love lovers affection advertising expert alcoholism invulnerability superhero pokies duringcreditsstinger
6479,I Am Legend,Drama Horror Action Thriller Science Fiction Will Smith Alice Braga Charlie Tahan F r a n c i s   L a w r e n c e saving the world lost civilisation post-apocalyptic dystopia matter of life and death alone helplessness virus pandemic
118,Charlie and the Chocolate Factory,Adventure Comedy Family Fantasy Johnny Depp Freddie Highmore David Kelly T i m   B u r t o n london england father son relationship chocolate factory worker based on novel parents kids relationship candy overweight child grandfather grandson relationship teacher
2062,Ratatouille,Animation Comedy Family Fantasy Patton Oswalt Ian Holm Lou Romano J a n   P i n k a v a   B r a d   B i r d paris brother brother relationship expensive restaurant river cook mouse confidence roof window leaving one's family work restaurant critic kitchen spice court cookbook family chef rat
272,Batman Begins,Action Crime Drama Christian Bale Michael Caine Liam Neeson C h r i s t o p h e r   N o l a n himalaya martial arts dc comics crime fighter secret identity undercover hero loss of father society gotham city vigilante superhero based on comic book rivalry tragic hero ninja good vs evil crime super powers haunted by the past evil doctor escapade master villain fighting crime unfulfillment love and romance unfulfilled love
10527,Madagascar: Escape 2 Africa,Family Animation Ben Stiller Jada Pinkett Smith David Schwimmer E r i c   D a r n e l l   T o m   M c G r a t h africa jealousy dance hunger lion zoo hippopotamus chimp penguin volcano madagascar airplane zebra sequel shark imax duringcreditsstinger
18360,Night at the Museum: Battle of the Smithsonian,Adventure Fantasy Action Comedy Family Ben Stiller Amy Adams Owen Wilson S h a w n   L e v y museum theodore roosevelt duringcreditsstinger amelia earhart smithsonian
2080,X-Men Origins: Wolverine,Adventure Action Thriller Science Fiction Hugh Jackman Liev Schreiber Danny Huston G a v i n   H o o d corruption mutant boxer army marvel comic superhero aftercreditsstinger duringcreditsstinger
605,The Matrix Revolutions,Adventure Action Thriller Science Fiction Keanu Reeves Laurence Fishburne Carrie-Anne Moss L i l l y   W a c h o w s k i   L a n a   W a c h o w s k i saving the world artificial intelligence man vs machine flying philosophy fortune teller kung fu underground world killer robot temple subway dream sun hero fight sunlight computer virus key future precognition super computer machine town ying yang dying and death virtual reality dystopia computer faith world religion truth rescue mission cyberpunk woman director yin yang gnosticism
109445,Frozen,Animation Adventure Family Kristen Bell Idina Menzel Jonathan Groff C h r i s   B u c k   J e n n i f e r   L e e queen musical princess betrayal snowman animation reindeer curse snow troll mountain climber aftercreditsstinger woman director 3d
604,The Matrix Reloaded,Adventure Action Thriller Science Fiction Keanu Reeves Carrie-Anne Moss Laurence Fishburne L i l l y   W a c h o w s k i   L a n a   W a c h o w s k i saving the world artificial intelligence man vs machine martial arts kung fu underground world dream hero fight computer virus key future plato precognition rave dying and death virtual reality dystopia computer faith world religion truth mission cyberpunk woman director gnosticism
76338,Thor: The Dark World,Action Adventure Fantasy Chris Hemsworth Natalie Portman Tom Hiddleston A l a n   T a y l o r marvel comic superhero based on comic book hostile takeover norse mythology aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d asgard
76341,Mad Max: Fury Road,Action Adventure Science Fiction Thriller Tom Hardy Charlize Theron Nicholas Hoult G e o r g e   M i l l e r future chase post-apocalyptic dystopia australia rescue survival on the run convoy peak oil dark future
13448,Angels & Demons,Thriller Mystery Tom Hanks Ewan McGregor Ayelet Zurer R o n   H o w a r d rome vatican based on novel symbolism christian illuminati quantum mechanics prequel anti matter conspiracy investigator catholicism cern
10195,Thor,Adventure Fantasy Action Chris Hemsworth Natalie Portman Tom Hiddleston K e n n e t h   B r a n a g h new mexico banishment shield marvel comic hammer superhero based on comic book redemption norse mythology aftercreditsstinger marvel cinematic universe 3d asgard odin heimdall
13053,Bolt,Animation Family Adventure Comedy John Travolta Miley Cyrus Susie Essman C h r i s   W i l l i a m s   B y r o n   H o w a r d hamster kids and family animal cat vs dog duringcreditsstinger dog cat friendship animal lead girl dog relationship
19585,G-Force,Fantasy Action Adventure Family Comedy Sam Rockwell Penélope Cruz Tracy Morgan H o y t   Y e a t m a n dyr duringcreditsstinger
